cpe,upgrade,interface,bgp_nbr_match,route_match,config_match
GER000549,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000558,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000576,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000609,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000616,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000628,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000629,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000645,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000661,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000671,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000672,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000674,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000676,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000710,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000773,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000774,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000781,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000783,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000793,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000834,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER000988,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER001010,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER001035,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER001081,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER001229,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER001291,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER001405,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
